title,text,author,source,lineCount,avgChar,attribution
A DITTY,"My true love hath my heart, and I have his,
By just exchange one to the other given:
I hold his dear, and mine he cannot miss,
There never was a better bargain driven:
My true love hath my heart, and I have his.

His heart in me keeps him and me in one,
My heart in him his thoughts and senses guides:
He loves my heart, for once it was his own,
I cherish his because in me it bides:
My true-love hath my heart, and I have his.",SIR P. SIDNEY.,Golden Treasury,11.0,38.0,
LOVE'S OMNIPRESENCE,"Were I as base as is the lowly plain,
And you, my Love, as high as heaven above,
Yet should the thoughts of me your humble swain
Ascend to heaven, in honour of my Love.

Were I as high as heaven above the plain,
And you, my Love, as humble and as low
As are the deepest bottoms of the main,
Whereso'er you were, with you my love should go.

Were you the earth, dear Love, and I the skies,
My love should shine on you like to the sun,
And look upon you with ten thousand eyes
Till heaven wax'd blind, and till the world were done.

Whereso'er I am, below, or else above you,
Whereso'er you are, my heart shall truly love you.",J. SYLVESTER.,Golden Treasury,17.0,35.8235294117647,
CARPE DIEM,"O Mistress mine, where are you roaming?
O, stay and hear! your true-love's coming
That can sing both high and low;
Trip no further, pretty sweeting,
Journeys end in lovers' meeting—
Every wise man's son doth know.

What is love? 'tis not hereafter;
Present mirth hath present laughter;
What's to come is still unsure:
In delay there lies no plenty,—
Then come kiss me, Sweet-and-twenty,
Youth's a stuff will not endure.",W. SHAKESPEARE.,Golden Treasury,13.0,31.384615384615383,
,"That time of year thou may'st in me behold
When yellow leaves, or none, or few do hang
Upon those boughs which shake against the cold,
Bare ruin'd choirs, where late the sweet birds sang.

In me thou seest the twilight of such day
As after sunset fadeth in the west,
Which by and by black night doth take away,
Death's second self, that seals up all in rest.

In me thou seest the glowing of such fire,
That on the ashes of his youth doth lie
As the deathbed whereon it must expire,
Consumed with that which it was nourish'd by.

—This thou perceiv'st, which makes thy love more strong,
To love that well which thou must leave ere long.",W. SHAKESPEARE.,Golden Treasury,17.0,36.52941176470589,
REMEMBRANCE,"When to the sessions of sweet silent thought
I summon up remembrance of things past,
I sigh the lack of many a thing I sought,
And with old woes new wail my dear time's waste

Then can I drown an eye, unused to flow,
For precious friends hid in death's dateless night,
And weep afresh love's long-since-cancell'd woe,
And moan the expense of many a vanish'd sight.

Then can I grieve at grievances foregone,
And heavily from woe to woe tell o'er
The sad account of fore-bemoanéd moan,
Which I new pay as if not paid before:

—But if the while I think on thee, dear friend,
All losses are restored, and sorrows end.",W. SHAKESPEARE.,Golden Treasury,17.0,35.23529411764706,
REVOLUTIONS,"Like as the waves make towards the pebbled shore
So do our minutes hasten to their end;
Each changing place with that which goes before,
In sequent toil all forwards do contend.

Nativity once in the main of light
Crawls to maturity, wherewith being crown'd,
Crooked eclipses 'gainst his glory fight,
And Time that gave, doth now his gift confound.

Time doth transfix the flourish set on youth,
And delves the parallels in beauty's brow;
Feeds on the rarities of nature's truth,
And nothing stands but for his scythe to mow.

And yet, to times in hope, my verse shall stand
Praising Thy worth, despite his cruel hand.",W. SHAKESPEARE.,Golden Treasury,17.0,35.47058823529412,
,"Farewell! thou art too dear for my possessing,
And like enough thou know'st thy estimate:
The charter of thy worth gives thee releasing,
My bonds in thee are all determinate.

For how do I hold thee but by thy granting?
And for that riches where is my deserving?
The cause of this fair gift in me is wanting,
And so my patent back again is swerving.

Thyself thou gav'st, thy own worth then not knowing,
Or me, to whom thou gav'st it, else mistaking;
So thy great gift, upon misprision growing,
Comes home again, on better judgement making.

Thus have I had thee as a dream doth flatter;
In sleep, a king; but waking, no such matter.",W. SHAKESPEARE.,Golden Treasury,17.0,36.35294117647059,
THE LIFE WITHOUT PASSION,"They that have power to hurt, and will do none,
That do not do the thing they most do show,
Who, moving others, are themselves as stone,
Unmovéd, cold, and to temptation slow,—

They rightly do inherit Heaven's graces,
And husband nature's riches from expense;
They are the lords and owners of their faces,
Others, but stewards of their excellence.

The summer's flower is to the summer sweet,
Though to itself it only live and die;
But if that flower with base infection meet,
The basest weed outbraves his dignity:

For sweetest things turn sourest by their deeds;
Lilies that fester smell far worse than weeds.",W. SHAKESPEARE.,Golden Treasury,17.0,35.1764705882353,
,"Care-charmer Sleep, son of the sable Night,
Brother to Death, in silent darkness born,
Relieve my anguish, and restore the light;
With dark forgetting of my care return.

And let the day be time enough to mourn
The shipwreck of my ill adventured youth:
Let waking eyes suffice to wail their scorn,
Without the torment of the night's untruth.

Cease, dreams, the images of day-desires,
To model forth the passions of the morrow;
Never let rising Sun approve you liars
To add more grief to aggravate my sorrow:

Still let me sleep, embracing clouds in vain,
And never wake to feel the day's disdain.",S. DANIEL,Golden Treasury,17.0,34.23529411764706,
MADRIGAL,"Take O take those lips away
That so sweetly were forsworn,
And those eyes, the break of day,
Lights that do mislead the morn:
But my kisses bring again,
          Bring again—
Seals of love, but seal'd in vain,
          Seal'd in vain!",W. SHAKESPEARE.,Golden Treasury,8.0,28.75,
LOVE'S FAREWELL,"Since there's no help, come let us kiss and part,—
Nay, I have done, you get no more of me;
And I am glad, yea glad with all my heart,
That thus so cleanly I myself can free;

Shake hands for ever, cancel all our vows,
And when we meet at any time again,
Be it not seen in either of our brows
That we one jot of former love retain.

Now at the last gasp of love's latest breath,
When his pulse failing, passion speechless lies,
When faith is kneeling by his bed of death,
And innocence is closing up his eyes,

—Now if thou wouldst, when all have given him over,
From death to life thou might'st him yet recover!",M. DRAYTON.,Golden Treasury,17.0,35.11764705882353,
TO HIS LUTE,"My lute, be as thou wert when thou did'st grow
With thy green mother in some shady grove,
When immelodious winds but made thee move,
And birds their ramage did on thee bestow.

Since that dear Voice which did thy sounds approve,
Which wont in such harmonious strains to flow,
Is reft from Earth to tune those spheres above,
What art thou but a harbinger of woe?

Thy pleasing notes be pleasing notes no more,
But orphan's wailings to the fainting ear;
Each stroke a sigh, each sound draws forth a tear;
For which be silent as in woods before:

Or if that any hand to touch thee deign,
Like widow'd turtle still her loss complain.",W. DRUMMOND.,Golden Treasury,17.0,36.11764705882353,
BLIND LOVE,"O me! what eyes hath love put in my head
Which have no correspondence with true sight:
Or if they have, where is my judgment fled
That censures falsely what they see aright?

If that be fair whereon my false eyes dote,
What means the world to say it is not so?
If it be not, then love doth well denote,
Love's eye is not so true as all men's: No,

How can it? O how can love's eye be true,
That is so vex'd with watching and with tears?
No marvel then though I mistake my view:
The sun itself sees not till heaven clears.

O cunning Love! with tears thou keep'st me blind,
Lest eyes well-seeing thy foul faults should find!",W. SHAKESPEARE.,Golden Treasury,17.0,35.76470588235294,
MADRIGAL,"My thoughts hold mortal strife;
  I do detest my life,
  And with lamenting cries
  Peace to my soul to bring
Oft call that prince which here doth monarchise:
—But he, grim grinning King,
Who caitiffs scorns, and doth the blest surprise,
Late having deck'd with beauty's rose his tomb,
Disdains to crop a weed, and will not come.",W. DRUMMOND.,Golden Treasury,9.0,35.77777777777778,
DIRGE OF LOVE,"Come away, come away, Death,
And in sad cypres let me be laid;
Fly away, fly away, breath;
I am slain by a fair cruel maid.
My shroud of white, stuck all with yew,
  O prepare it!
My part of death no one so true
  Did share it.

Not a flower, not a flower sweet,
On my black coffin let there be strown;
Not a friend, not a friend greet
My poor corpse, where my bones shall thrown:
A thousand thousand sighs to save,
  Lay me, O where
Sad true lover never find my grave,
  To weep there.",W. SHAKESPEARE.,Golden Treasury,17.0,27.705882352941178,
A SEA DIRGE,"Full fathom five thy father lies:
Of his bones are coral made;
Those are pearls that were his eyes:
Nothing of him that doth fade,
But doth suffer a sea-change
Into something rich and strange;
Sea-nymphs hourly ring his knell:
Hark! now I hear them,—
Ding, dong, Bell.",W. SHAKESPEARE.,Golden Treasury,9.0,29.0,
A LAND DIRGE,"Call for the robin-redbreast and the wren,
Since o'er shady groves they hover
And with leaves and flowers do cover
The friendless bodies of unburied men.
Call unto his funeral dole
The ant, the field-mouse, and the mole
To rear him hillocks that shall keep him warm
And (when gay tombs are robb'd) sustain no harm;
But keep the wolf far thence, that's foe to men,
For with his nails he'll dig them up again.",J. WEBSTER.,Golden Treasury,10.0,39.9,
POST MORTEM,"If Thou survive my well-contented day
When that churl Death my bones with dust shall cover,
And shalt by fortune once more re-survey
These poor rude lines of thy deceaséd lover:

Compare them with the bettering of the time,
And though they be outstripp'd by every pen,
Reserve them for my love, not for their rhyme
Exceeded by the height of happier men.

O then vouchsafe me but this loving thought—
""Had my friend's muse grown with this growing age,
A dearer birth than this his love had brought,
To march in ranks of better equipage:

But since he died, and poets better prove,
Theirs for their style I'll read, his for his love.""",W. SHAKESPEARE.,Golden Treasury,17.0,36.294117647058826,
THE TRIUMPH OF DEATH,"No longer mourn for me when I am dead
Than you shall hear the surly sullen bell
Give warning to the world, that I am fled
From this vile world, with vilest worms to dwell;

Nay, if you read this line, remember not
The hand that writ it; for I love you so,
That I in your sweet thoughts would be forgot
If thinking on me then should make you woe.

O if, I say, you look upon this verse
When I perhaps compounded am with clay
Do not so much as my poor name rehearse,
But let your love even with my life decay;

Lest the wise world should look into your moan,
And mock you with me after I am gone.",W. SHAKESPEARE.,Golden Treasury,17.0,34.05882352941177,
MADRIGAL,"Tell me where is Fancy bred,
Or in the heart or in the head?
How begot, how nourishéd?
  Reply, reply.
It is engender'd in the eyes,
With gazing fed; and Fancy dies
In the cradle where it lies:
Let us all ring fancy's knell;
I'll begin it,—Ding, dong, bell.
       —Ding, dong, bell.",W. SHAKESPEARE.,Golden Treasury,10.0,27.5,
CUPID AND CAMPASPE,"Cupid and my Campaspe play'd
At cards for kisses; Cupid paid:
He stakes his quiver, bow, and arrows,
His mother's doves, and team of sparrows;
Loses them too; then down he throws
The coral of his lip, the rose
Growing on's cheek (but none knows how);
With these, the crystal of his brow,
And then the dimple on his chin;
All these did my Campaspe win:
At last he set her both his eyes—
She won, and Cupid blind did rise.
O Love! has she done this to thee?
What shall, alas! become of me?",J. LYLYE.,Golden Treasury,14.0,33.92857142857143,
,"This Life, which seems so fair,
Is like a bubble blown up in the air
By sporting children's breath,
Who chase it everywhere
And strive who can most motion it bequeath.
And though it sometimes seem of its own might
Like to an eye of gold to be fix'd there,
And firm to hover in that empty height,
That only is because it is so light.
—But in that pomp it doth not long appear;
For when 'tis most admiréd, in a thought,
Because it erst was nought, it turns to nought.",W. DRUMMOND.,Golden Treasury,12.0,37.91666666666666,
SOUL AND BODY,"Poor Soul, the centre of my sinful earth,
Fool'd by those rebel powers that thee array,
Why dost thou pine within, and suffer dearth,
Painting thy outward walls so costly gay?

Why so large cost, having so short a lease,
Dost thou upon thy fading mansion spend?
Shall worms, inheritors of this excess,
Eat up thy charge? is this thy body's end?

Then, Soul, live thou upon thy servant's loss,
And let that pine to aggravate thy store;
Buy terms divine in selling hours of dross;
Within be fed, without be rich no more:—

So shall thou feed on death, that feeds on men,
And death once dead, there's no more dying then.",W. SHAKESPEARE.,Golden Treasury,17.0,35.411764705882355,
THE LESSONS OF NATURE,"Of this fair volume which we World do name
If we the sheets and leaves could turn with care,
Of Him who it corrects, and did it frame,
We clear might read the art and wisdom rare:

Find out His power which wildest powers doth tame,
His providence extending everywhere,
His justice which proud rebels doth not spare,
In every page, no period of the same.

But silly we, like foolish children, rest
Well pleased with colour'd vellum, leaves of gold,
Fair dangling ribbands, leaving what is best,
On the great Writer's sense ne'er taking hold;

Or if by chance we stay our minds on aught,
It is some picture on the margin wrought.",W. DRUMMOND.,Golden Treasury,17.0,36.0,
,"Doth then the world go thus, doth all thus move?
Is this the justice which on Earth we find?
Is this that firm decree which all doth bind?
Are these your influences, Powers above?

Those souls which vice's moody mists most blind,
Blind Fortune, blindly, most their friend doth prove;
And they who thee, poor idle Virtue! love,
Ply like a feather toss'd by storm and wind.

Ah! if a Providence doth sway this all,
Why should best minds groan under most distress?
Or why should pride humility make thrall,
And injuries the innocent oppress?

Heavens! hinder, stop this fate; or grant a time
When good may have, as well as bad, their prime!",W. DRUMMOND.,Golden Treasury,17.0,36.588235294117645,
THE WORLD'S WAY,"Tired with all these, for restful death I cry—
As, to behold desert a beggar born,
And needy nothing trimm'd in jollity,
And purest faith unhappily forsworn,

And gilded honour shamefully misplaced,
And maiden virtue rudely strumpeted,
And right perfection wrongfully disgraced,
And strength by limping sway disabléd

And art made tongue-tied by authority,
And folly, doctor-like, controlling skill,
And simple truth miscall'd simplicity,
And captive Good attending captain Ill:—

—Tired with all these, from these would I be gone,
Save that, to die, I leave my Love alone.",W. SHAKESPEARE.,Golden Treasury,17.0,32.8235294117647,
SAINT JOHN BAPTIST,"The last and greatest Herald of Heaven's King
Girt with rough skins, hies to the deserts wild,
Among that savage brood the woods forth bring,
Which he more harmless found than man, and mild.

His food was locusts, and what there doth spring
With honey that from virgin hives distill'd;
Parch'd body, hollow eyes, some uncouth thing
Made him appear, long since from earth exiled.

There burst he forth: All ye whose hopes rely
On God, with me amidst these deserts mourn,
Repent, repent, and from old errors turn!
—Who listen'd to his voice, obey'd his cry?

Only the echoes, which he made relent,
Rung from their flinty caves, Repent! Repent!",W. DRUMMOND.,Golden Treasury,17.0,36.8235294117647,
ON THE LATE MASSACRE IN PIEMONT,"Avenge, O Lord! Thy slaughter'd Saints, whose bones
Lie scatter'd on the Alpine mountains cold;
Even them who kept Thy truth so pure of old
When all our fathers worshipt stocks and stones.

Forget not: In Thy book record their groans
Who were Thy sheep, and in their ancient fold
Slain by the bloody Piemontese, that roll'd
Mother with infant down the rocks. Their moans

The vales redoubled to the hills, and they
To Heaven. Their martyr'd blood and ashes sow
O'er all the Italian field, where still doth sway
The triple tyrant, that from these may grow
A hundred-fold, who, having learnt Thy way,
Early may fly the Babylonian woe.",J. MILTON.,Golden Treasury,16.0,38.625,
THE LAST CONQUEROR,"Victorious men of earth, no more
Proclaim how wide your empires are;
Though you bind-in every shore
And your triumphs reach as far
  As night and day,
Yet you, proud monarchs, must obey
And mingle with forgotten ashes, when
Death calls ye to the crowd of common men.

Devouring Famine, Plague, and War,
Each able to undo mankind,
Death's servile emissaries are;
Nor to these alone confined,
  He hath at will
More quaint and subtle ways to kill;
A smile or kiss, as he will use the art,
Shall have the cunning skill to break a heart.",J. SHIRLEY.,Golden Treasury,17.0,30.47058823529412,
WHEN THE ASSAULT WAS INTENDED TO THE CITY,"Captain, or Colonel, or Knight in arms,
Whose chance on these defenceless doors may seize,
If deed of honour did thee ever please;
Guard them, and him within protect from harms.

He can requite thee; for he knows the charms
That call fame on such gentle acts as these.
And he can spread thy name o'er lands and seas,
Whatever clime the sun's bright circle warms.

Lift not thy spear against the Muses' bower:
The great Emathian conqueror bid spare
The house of Pindarus, when temple and tower
Went to the ground: and the repeated air
Of sad Electra's poet had the power
To save the Athenian walls from ruin bare.",J. MILTON.,Golden Treasury,16.0,37.375,
ON HIS BLINDNESS,"When I consider how my light is spent
Ere half my days, in this dark world and wide,
And that one talent which is death to hide
Lodged with me useless, though my soul more bent

To serve therewith my Maker, and present
My true account, lest He returning chide,—
Doth God exact day-labour, light denied?
I fondly ask:—But Patience, to prevent

That murmur, soon replies; God doth not need
Either man's work, or His own gifts: who best
Bear His mild yoke, they serve Him best: His state

Is kingly; thousands at His bidding speed
And post o'er land and ocean without rest:—
They also serve who only stand and wait.",J. MILTON.,Golden Treasury,17.0,35.11764705882353,
THE NOBLE NATURE,"It is not growing like a tree
In bulk, doth make Man better be;
Or standing long an oak, three hundred year,
To fall a log at last, dry, bald, and sere:
  A lily of a day
  Is fairer far in May,
Although it fall and die that night—
It was the plant and flower of Light.
In small proportions we just beauties see;
And in short measures life may perfect be.",B. JONSON.,Golden Treasury,10.0,34.7,
TO MR,"LAWRENCE.

Lawrence, of virtuous father virtuous son,
Now that the fields are dank and ways are mire,
Where shall we sometimes meet, and by the fire
Help waste a sullen day, what may be won

From the hard season gaining? Time will run
On smoother, till Favonius re-inspire
The frozen earth, and cloth in fresh attire
The lily and rose, that neither sow'd nor spun.

What neat repast shall feast us, light and choice,
Of Attic taste, with wine, whence we may rise
To hear the lute well touch'd, or artful voice

Warble immortal notes and Tuscan air?
He who of those delights can judge, and spare
To interpose them oft, is not unwise.",J. MILTON.,Golden Treasury,19.0,32.36842105263158,
TO CYRIACK SKINNER,"Cyriack, whose grandsire on the royal bench
Of British Themis, with no mean applause
Pronounced, and in his volumes taught, our laws,
Which others at their bar so often wrench;

To-day deep thoughts resolve with me to drench
In mirth, that after no repenting draws;
Let Euclid rest and Archimedes pause,
And what the Swede intends, and what the French.

To measure life learn thou betimes, and know
Toward solid good what leads the nearest way;
For other things mild Heaven a time ordains,

And disapproves that care, though wise in show,
That with superfluous burden loads the day,
And, when God sends a cheerful hour, refrains.",J. MILTON.,Golden Treasury,17.0,36.11764705882353,
COUNSEL TO GIRLS,"Gather ye rose-buds while ye may,
Old Time is still a-flying:
And this same flower that smiles to-day,
To-morrow will be dying.

The glorious Lamp of Heaven, the Sun,
The higher he's a-getting
The sooner will his race be run,
And nearer he's to setting.

That age is best which is the first,
When youth and blood are warmer,
But being spent, the worse, and worst
Times, still succeed the former.

Then be not coy, but use your time;
And while ye may, go marry:
For having lost but once your prime,
You may for ever tarry.",R. HERRICK.,Golden Treasury,19.0,26.526315789473685,
"TO LUCASTA, ON GOING TO THE WARS","Tell me not, Sweet, I am unkind
That from the nunnery
Of thy chaste breast and quiet mind,
To war and arms I fly.

True, a new mistress now I chase,
The first foe in the field;
And with a stronger faith embrace
A sword, a horse, a shield.

Yet this inconstancy is such
As you too shalt adore;
I could not love thee, Dear, so much,
Loved I not Honour more.",COLONEL LOVELACE.,Golden Treasury,14.0,24.5,
TO THE LADY MARGARET LEY,"Daughter to that good earl, once President
Of England's council and her treasury,
Who lived in both, unstain'd with gold or fee,
And left them both, more in himself content.

Till the sad breaking of that parliament
Broke him, as that dishonest victory
At Chaeronia, fatal to liberty,
Kill'd with report that old man eloquent;—

Though later born than to have known the days
Wherein your father flourish'd, yet by you,
Madam, methinks I see him living yet;

So well your words his noble virtues praise,
That all both judge you to relate them true,
And to possess them, honour'd Margaret.",J. MILTON.,Golden Treasury,17.0,33.64705882352941,
THE TRUE BEAUTY,"He that loves a rosy cheek
 Or a coral lip admires,
Or from star-like eyes doth seek
 Fuel to maintain his fires;
As old Time makes these decay,
So his flames must waste away.

But a smooth and steadfast mind,
 Gentle thoughts, and calm desires,
Hearts with equal love combined,
 Kindle never-dying fires:—
Where these are not, I despise
Lovely cheeks or lips or eyes.",T. CAREW.,Golden Treasury,13.0,27.46153846153846,
TO DIANEME,"Sweet, be not proud of those two eyes
Which starlike sparkle in their skies;
Nor be you proud, that you can see
All hearts your captives; yours yet free:
Be you not proud of that rich hair
Which wantons with the lovesick air;
Whenas that ruby which you wear,
Sunk from the tip of your soft ear,
Will last to be a precious stone,
When all your world of beauty's gone.",R. HERRICK.,Golden Treasury,10.0,35.8,
TO CELIA,"Drink to me only with thine eyes,
And I will pledge with mine;
Or leave a kiss but in the cup
And I'll not look for wine.
The thirst that from the soul doth rise
Doth ask a drink divine;
But might I of Jove's nectar sup,
I would not change for thine.

I sent thee late a rosy wreath,
Not so much honouring thee
As giving it a hope that there
It could not wither'd be;
But thou thereon didst only breathe
And sent'st it back to me;
Since when it grows, and smells, I swear,
Not of itself but thee!",B. JONSON.,Golden Treasury,17.0,28.294117647058822,
THE POETRY OF DRESS,"I.

A sweet disorder in the dress
Kindles in clothes a wantonness:—
A lawn about the shoulders thrown
Into a fine distractión,—
An erring lace, which here and there
Enthrals the crimson stomacher,—
A cuff neglectful, and thereby
Ribbands to flow confusedly,—
A winning wave, deserving note,
In the tempestuous petticoat,—
A careless shoe-string, in whose tie
I see a wild civility;—
Do more bewitch me, than when art
Is too precise in every part.",R. HERRICK.,Golden Treasury,16.0,27.0,
—II,"Whenas in silks my Julia goes
Then, then (methinks) how sweetly flows
That liquefaction of her clothes.

Next, when I cast mine eyes and see
That brave vibration each way free;
O how that glittering taketh me!",R. HERRICK.,Golden Treasury,7.0,29.142857142857142,
—III,"My Love in her attire doth shew her wit,
It doth so well become her;
For every season she hath dressings fit,
For Winter, Spring, and Summer.
No beauty she doth miss
When all her robes are on
But Beauty's self she is
When all her robes are gone.",ANON.,Golden Treasury,8.0,29.875,
